time_ms,roll_deg,pitch_deg,yaw_deg,magYaw_deg,mx,my,mz,gz,dt
4636,0.03,0.01,-0.73,214.57,-25.33,17.44,-38.65,-0.0031,0.0100
4653,0.07,0.01,-1.44,216.41,-25.68,18.90,-38.71,0.0044,0.0166
4670,0.10,0.01,-2.15,216.44,-25.68,18.90,-38.71,0.0017,0.0170
4687,0.14,0.01,-2.86,215.70,-23.55,16.83,-38.65,-0.0028,0.0170
4704,0.17,0.02,-3.57,216.85,-24.80,18.48,-39.93,-0.0041,0.0170
4721,0.20,0.02,-4.28,215.30,-26.47,18.62,-38.47,-0.0033,0.0170
4738,0.24,0.02,-4.98,216.06,-24.31,17.56,-38.01,-0.0031,0.0170
4755,0.27,0.03,-5.66,216.72,-24.14,17.84,-37.86,0.0044,0.0170
4772,0.31,0.03,-6.35,216.76,-24.14,17.84,-37.86,-0.0020,0.0170
4789,0.34,0.02,-7.03,219.06,-23.89,19.17,-38.44,0.0007,0.0170
4806,0.38,0.03,-7.70,216.87,-24.53,18.16,-38.61,0.0031,0.0170
4823,0.41,0.03,-8.38,217.11,-25.30,18.88,-37.96,0.0004,0.0170
4840,0.44,0.03,-9.05,218.92,-23.52,18.71,-37.98,-0.0031,0.0170
4857,0.47,0.04,-9.71,219.55,-23.95,19.48,-39.17,-0.0036,0.0170
4874,0.50,0.05,-10.36,219.57,-23.95,19.48,-39.17,0.0020,0.0170
4891,0.52,0.05,-11.01,218.16,-23.87,18.44,-38.43,0.0017,0.0170
4908,0.54,0.06,-11.67,217.42,-23.83,17.89,-39.99,0.0007,0.0170
4925,0.56,0.08,-12.32,218.59,-23.90,18.74,-38.72,-0.0015,0.0170
4942,0.58,0.09,-12.97,218.91,-23.28,18.45,-39.10,-0.0020,0.0170
4959,0.61,0.10,-13.61,218.93,-23.28,18.45,-39.10,-0.0028,0.0170
4976,0.64,0.10,-14.25,218.11,-24.16,18.57,-37.87,-0.0028,0.0170
4993,0.66,0.10,-14.89,219.66,-23.79,19.33,-39.30,-0.0041,0.0170
5010,0.68,0.09,-15.54,216.49,-23.70,17.12,-38.53,-0.0039,0.0170
5027,0.71,0.10,-16.16,218.73,-23.67,18.57,-37.84,-0.0007,0.0170
5044,0.73,0.10,-16.79,218.07,-23.72,18.15,-38.55,0.0009,0.0170
5061,0.75,0.11,-17.42,218.09,-23.72,18.15,-38.55,-0.0052,0.0170
