mx,my,mz
-34.35,-44.4,116.1
-34.35,-44.4,116.1
-34.35,-44.4,116.1
-34.35,-44.4,116.1
-34.35,-44.4,116.1
-34.35,-44.4,116.1
-34.35,-44.4,116.1
-34.35,-44.4,116.1
-34.35,-44.4,116.1
-34.35,-44.4,116.1
-34.35,-44.4,116.1
-34.35,-44.4,116.1
-34.35,-44.4,116.1
-34.35,-44.4,116.1
-34.35,-44.4,116.1
-34.35,-44.4,116.1
-34.35,-44.4,116.1
-34.35,-44.4,116.1
-34.35,-44.4,116.1
-34.35,-44.4,116.1
-34.35,-44.4,116.1
-34.35,-44.4,116.1
-34.35,-44.4,116.1
-34.35,-44.4,116.1
-34.35,-44.4,116.1
-34.35,-44.4,116.1
-34.35,-44.4,116.1
-34.35,-44.4,116.1
-34.35,-44.4,116.1
-34.35,-44.4,116.1
-34.35,-44.4,116.1
-34.35,-44.4,116.1
-34.35,-44.4,116.1
-34.35,-44.4,116.1
-34.35,-44.4,116.1
-34.35,-44.4,116.1
-34.35,-44.4,116.1
-34.35,-44.4,116.1
-34.35,-44.4,116.1
-34.35,-44.4,116.1
-34.35,-44.4,116.1
-34.35,-44.4,116.1
-34.35,-44.4,116.1
-34.35,-44.4,116.1
-34.35,-44.4,116.1
-34.35,-44.4,116.1
-34.35,-44.4,116.1
-34.35,-44.4,116.1
-34.35,-44.4,116.1
-34.35,-44.4,116.1
-34.35,-44.4,116.1
-34.35,-44.4,116.1
-34.35,-44.4,116.1
-34.35,-44.4,116.1
-34.35,-44.4,116.1
-34.35,-44.4,116.1
-34.35,-44.4,116.1
-34.35,-44.4,116.1
-34.35,-44.4,116.1
-34.35,-44.4,116.1
-34.35,-44.4,116.1
-34.35,-44.4,116.1
-34.35,-44.4,116.1
-34.35,-44.4,116.1
-34.35,-44.4,116.1
-34.35,-44.4,116.1
-34.35,-44.4,116.1
-34.35,-44.4,116.1
-34.35,-44.4,116.1
-34.35,-44.4,116.1
-34.35,-44.4,116.1
-34.35,-44.4,116.1
-34.35,-44.4,116.1
-34.35,-44.4,116.1
-34.35,-44.4,116.1
-34.35,-44.4,116.1
-34.35,-44.4,116.1
-34.35,-44.4,116.1
-34.35,-44.4,116.1
-34.35,-44.4,116.1
-34.35,-44.4,116.1
-34.35,-44.4,116.1
-34.35,-44.4,116.1
-34.35,-44.4,116.1
-34.35,-44.4,116.1
-34.35,-44.4,116.1
-34.35,-44.4,116.1
-34.35,-44.4,116.1
-34.35,-44.4,116.1
-34.35,-44.4,116.1
-34.35,-44.4,116.1
-34.35,-44.4,116.1
-34.35,-44.4,116.1
-34.35,-44.4,116.1
-34.35,-44.4,116.1
-34.35,-44.4,116.1
-34.35,-44.4,116.1
-34.35,-44.4,116.1
-34.35,-44.4,116.1
-34.35,-44.4,116.1
-34.35,-44.4,116.1
-34.35,-44.4,116.1
-34.35,-44.4,116.1
-34.35,-44.4,116.1
-34.35,-44.4,116.1
-34.35,-44.4,116.1
-34.35,-44.4,116.1
-34.35,-44.4,116.1
-34.35,-44.4,116.1
-34.35,-44.4,116.1
-34.35,-44.4,116.1
-34.35,-44.4,116.1
-34.35,-44.4,116.1
-34.35,-44.4,116.1
-34.35,-44.4,116.1
-34.35,-44.4,116.1
-34.35,-44.4,116.1
-34.35,-44.4,116.1
-34.35,-44.4,116.1
-34.35,-44.4,116.1
-34.35,-44.4,116.1
-34.35,-44.4,116.1
